"chr","tss","refseq_id","gene_symbol"
"chr11",124095344,"NM_001291438","OR8G2P"
"chr14",22005350,"NM_001291446","SALL2"
"chr17",36348623,"NM_001291459","TBC1D3L"
"chr17",36284003,"NM_001291459","TBC1D3L"
"chr17",36284017,"NM_001291462","TBC1D3G"
"chr17",34756993,"NM_001291462","TBC1D3G"
"chr17",36348609,"NM_001291462","TBC1D3G"
"chr17",34591982,"NM_001291462","TBC1D3G"
"chr17",36284017,"NM_001291463","TBC1D3I"
"chr17",36348609,"NM_001291463","TBC1D3I"
"chr17",36284017,"NM_001291464","TBC1D3K"
"chr17",36348609,"NM_001291464","TBC1D3K"
"chr17",36348607,"NM_001291466","TBC1D3E"
"chr17",36284019,"NM_001291466","TBC1D3E"
"chr17",36003493,"NM_001291476","DDX52"
"chr19",15529932,"NM_001291478","AKAP8L"
"chr19",42212504,"NM_001291484","CEACAM5"
"chr19",42192206,"NM_001291485","CEACAM7"
"chr19",44905777,"NM_001291488","ZNF285"
"chr10",15762334,"NM_001291494","ITGA8"
"chr22",45809500,"NM_001291501","SMC1B"
"chr3",195270224,"NM_001291504","PPP1R2"
"chrX",134953901,"NM_001291527","CT45A10"
"chrX",134866214,"NM_001291535","CT45A8"
"chrX",134866214,"NM_001291540","CT45A9"
"chrX",134971043,"NM_001291543","CT45A7"
"chrX",134883689,"NM_001291543","CT45A7"
"chrX",134866415,"NM_001291543","CT45A7"
"chrX",134847386,"NM_001291543","CT45A7"
"chr17",41322987,"NM_001291571","NBR1"
"chr17",41363846,"NM_001291586","TMEM106A"
"chr1",6052533,"NM_001291593","NPHP4"
"chr6",159065818,"NM_001291602","DYNLT1"
"chr3",57530071,"NM_001291661","DNAH12"
"chr3",14989091,"NM_001291694","NR2C2"
"chr6",133055904,"NM_001291702","VNN3P"
"chr22",22900174,"NM_001291715","PRAME"
"chr17",37844323,"NM_001291726","PGAP3"
"chrY",21154962,"NM_001291737","CD24"
"chr2",61108630,"NM_001291746","REL"
"chr20",55966454,"NM_001291780","RBM38"
"chr7",2516017,"NM_001291784","GRIFIN"
"chr2",163100045,"NM_001291807","FAP"
"chr4",81189419,"NM_001291812","FGF5"
"chr9",133028158,"NM_001291815","HMCN2"
"chr9",70856861,"NM_001291821","ZNG1C"
"chr12",9980077,"NM_001291822","KLRF1"
"chr22",40322595,"NM_001291824","GRAP2"
"chr2",239067649,"NM_001291832","ERFE"
"chr1",22263790,"NM_001291860","HSPG2"
"chr1",230193536,"NM_001291866","GALNT2"
"chr10",123748689,"NM_001291876","TACC2"
"chr1",113009163,"NM_001291880","WNT2B"
"chr11",68080077,"NM_001291902","LRP5"
"chr7",155755326,"NM_001291913","LOC389602"
"chr18",19192230,"NM_001291916","SNRPD1"
"chr9",137271141,"NM_001291920","RXRA"
"chr8",143484610,"NM_001291931","TSNARE1"
"chr3",62304648,"NM_001291941","C3orf14"
"chr6",161412759,"NM_001291958","MAP3K4"
"chr4",184427235,"NM_001291959","ING2"
"chr5",10761387,"NM_001291963","DAP"
"chr13",27131840,"NM_001291965","WASF3"
"chr6",43543878,"NM_001291969","POLH"
"chr4",2965233,"NM_001291978","NOP14"
"chr5",176513873,"NM_001291980","FGFR4"
"chr5",170210723,"NM_001291985","GABRP"
"chr11",133715433,"NM_001291992","SPATA19"
"chr16",78133310,"NM_001291997","WWOX"
"chr6",43140128,"NM_001292001","SRF"
"chr4",142142041,"NM_001292002","ZNF330"
"chr4",88141420,"NM_001292003","KLHL8"
"chr6",7313547,"NM_001292008","SSR1"
"chr4",83351633,"NM_001292017","ENOPH1"
"chr17",76719832,"NM_001292018","CYTH1"
"chr6",35227491,"NM_001292032","ZNF76"
"chr4",186125182,"NM_001292033","CFAP97"
"chr6",149639063,"NM_001292034","TAB2"
"chr4",6576901,"NM_001292038","MAN2B2"
"chr18",48086484,"NM_001292039","MAPK4"
"chr3",121379795,"NM_001292041","HCLS1"
"chr4",56502465,"NM_001292045","NMU"
"chr3",19988572,"NM_001292048","RAB5A"
"chr3",36421979,"NM_001292049","STAC"
"chr4",26585546,"NM_001292054","TBC1D19"
"chr11",77348851,"NM_001293","CLNS1A"
"chr7",134331531,"NM_001293085","BPGM"
"chr11",797511,"NM_001293167","PANO1"
"chr11",86511282,"NM_001293178","PRSS23"
"chr2",170681441,"NM_001293186","METTL5"
"chr9",138437985,"NM_001293189","OBP2A"
"chr16",730111,"NM_001293197","STUB1"
"chr16",29841836,"NM_001293204","MVP"
"chr6",30689326,"NM_001293212","TUBB"
"chr2",16080560,"NM_001293228","MYCN"
"chr3",182817375,"NM_001293273","MCCC1"
"chr1",64971597,"NM_001293274","CACHD1"
"chr12",49760688,"NM_001293285","SPATS2"
"chr11",69061605,"NM_001293291","MYEOV"
"chr15",81071684,"NM_001293298","CEMIP"
"chr3",38835501,"NM_001293306","SCN10A"
"chr2",136743254,"NM_001293312","DARS1"
"chr16",50733261,"NM_001293557","NOD2"
"chr1",33546714,"NM_001293562","AZIN2"
"chr11",695754,"NM_001293634","DEAF1"
"chr12",105501492,"NM_001293640","WASHC4"
"chr18",23806847,"NM_001293725","TAF4B"
"chr5",130506607,"NM_001293735","LYRM7"
"chr1",12854843,"NM_001294139","PRAMEF1"
"chr2",170655538,"NM_001294145","SSB"
"chr20",53092011,"NM_001294161","DOK5"
"chr5",218338,"NM_001294332","SDHA"
"chr1",32229664,"NM_001294335","ADGRB2"
"chr5",2752245,"NM_001294337","IRX2-DT"
"chr16",88636789,"NM_001294340","ZC3H18"
"chr4",683230,"NM_001294341","SLC49A3"
"chr12",719579,"NM_001294345","NINJ2"
"chr1",36590685,"NM_001294347","COL8A2"
"chr3",46249832,"NM_001295","CCR1"
"chr3",42850964,"NM_001296","ACKR2"
"chr19",8509712,"NM_001297418","HNRNPM"
"chr12",1099207,"NM_001297419","RAD52"
"chr4",926175,"NM_001297423","TMEM175"
"chr1",38397463,"NM_001297434","INPP5B"
"chr19",52227245,"NM_001297436","HAS1"
"chr5",41925354,"NM_001297437","FBXO4"
"chr12",6580065,"NM_001297438","VAMP1"
"chr4",3443660,"NM_001297439","HGFAC"
"chr5",43121610,"NM_001297548","ZNF131"
"chr19",18942744,"NM_001297549","UPF1"
"chr4",165798140,"NM_001297550","APELA"
"chr4",4249969,"NM_001297551","TMEM128"
"chr19",7968665,"NM_001297555","MAP2K7"
"chr4",8271492,"NM_001297559","HTRA3"
"chr19",21512241,"NM_001297560","ZNF708"
"chr1",173174697,"NM_001297562","TNFSF4"
"chrX",13671225,"NM_001297563","TCEANC"
"chr1",46769285,"NM_001297565","UQCRH"
"chr12",6950018,"NM_001297571","GNB3"
"chr6",42419789,"NM_001297573","TRERF1"
"chr1",179545087,"NM_001297575","NPHS2"
"chr1",160175109,"NM_001297576","PEA15"
"chr19",44455375,"NM_001297588","ZNF221"
"chr19",45909467,"NM_001297590","POLR1G"
"chr4",25865217,"NM_001297592","SEL1L3"
"chr19",16940198,"NM_001297595","SIN3B"
"chr5",56247957,"NM_001297598","MIER3"
"chr12",6961230,"NM_001297602","CDCA3"
"chr1",2487804,"NM_001297605","TNFRSF14"
"chr4",52917497,"NM_001297608","SPATA18"
"chr1",27693357,"NM_001297609","MAP3K6"
"chr6",86303874,"NM_001297614","SNX14"
"chr4",70361626,"NM_001297615","UGT2B4"
"chr19",36870105,"NM_001297619","ZFP14"
"chr19",37157755,"NM_001297623","ZNF461"
"chr19",52800422,"NM_001297624","ZNF480"
"chr12",7261874,"NM_001297640","C1RL"
"chr5",64064745,"NM_001297644","CWC27"
"chr1",26503981,"NM_001297647","CNKSR1"
"chr11",2397407,"NM_001297649","CD81"
"chr12",7596781,"NM_001297650","CD163L1"
"chr1",45205490,"NM_001297655","KIF2C"
"chr11",2421718,"NM_001297658","TSSC4"
"chr1",183605182,"NM_001297669","RGL1"
"chr1",150336587,"NM_001297673","RPRD2"
"chr5",68628620,"NM_001297696","CCDC125"
"chr12",7941992,"NM_001297698","NANOG"
"chr19",36505145,"NM_001297701","ALKBH6"
"chr19",17375605,"NM_001297703","USHBP1"
"chr1",82165455,"NM_001297704","ADGRL2"
"chr1",200708686,"NM_001297707","CAMSAP2"
"chr12",8815484,"NM_001297709","MFAP5"
"chr1",161994255,"NM_001297713","OLFML2B"
"chr11",9685624,"NM_001297714","SWAP70"
"chr5",75379239,"NM_001297716","SV2C"
"chr19",58427984,"NM_001297734","ZNF417"
"chr5",77072185,"NM_001297738","TBCA"
"chr11",13484844,"NM_001297741","BTBD10"
"chr19",56343460,"NM_001297743","NLRP11"
"chr1",244816350,"NM_001297746","DESI2"
"chr12",10251664,"NM_001297748","CLEC1A"
"chr19",44331444,"NM_001297752","ZNF283"
"chr1",217804444,"NM_001297754","GPATCH2"
"chr4",84377036,"NM_001297755","HELQ"
"chr1",204121310,"NM_001297760","ETNK2"
"chr19",40502943,"NM_001297763","ZNF546"
"chr11",17565963,"NM_001297764","USH1C"
"chr5",89705603,"NM_001297765","CETN3"
"chr4",84377085,"NM_001297767","MRPS18C"
"chr19",55690811,"NM_001297774","SYT5"
"chr12",8850496,"NM_001297776","RIMKLB"
"chr1",10002981,"NM_001297778","NMNAT1"
"chr19",11649532,"NM_001299","CNN1"
"chr11",45944227,"NM_001300721","LARGE2"
"chr11",58938903,"NM_001300727","DTX4"
"chr16",81070787,"NM_001300728","ATMIN"
"chr1",151736392,"NM_001300733","MRPL9"
"chr4",82393082,"NM_001300735","RASGEF1B"
"chr12",10765577,"NM_001300739","MAGOHB"
"chr5",102898502,"NM_001300741","NUDT12"
"chr12",12510013,"NM_001300742","BORCS5"
"chr16",19566737,"NM_001300743","VPS35L"
"chr1",45140280,"NM_001300746","TMEM53"
"chr12",49504683,"NM_001300750","LMBR1L"
"chr1",213189217,"NM_001300753","ANGEL2"
"chr4",103998528,"NM_001300754","SLC9B2"
"chr1",172422033,"NM_001300760","C1orf105"
"chr4",147867034,"NM_001300761","TTC29"
"chr4",185570767,"NM_001300767","PRIMPOL"
"chr1",219347173,"NM_001300769","LYPLAL1"
"chr12",133656789,"NM_001300776","ZNF140"
"chr12",16064106,"NM_001300779","DERA"
"chr5",115910622,"NM_001300780","SEMA6A"
"chr5",119799973,"NM_001300783","PRR16"
"chr12",15082059,"NM_001300784","ERP27"
"chrX",54209714,"NM_001300788","FAM120C"
"chr5",132073270,"NM_001300791","KIF3A"
"chr11",62380237,"NM_001300793","EML3"
"chr4",103747017,"NM_001300795","UBE2D3"
"chr12",131356539,"NM_001300796","RAN"
"chr11",63706803,"NM_001300800","NAA40"
"chr12",123595036,"NM_001300801","PITPNM2"
"chr6",41604915,"NM_001300804","MDFI"
"chr11",64757749,"NM_001300807","BATF2"
"chr12",52758406,"NM_001300810","KRT85"
"chr19",639895,"NM_001300812","FGF22"
"chr12",53242067,"NM_001300814","KRT78"
"chr5",132362296,"NM_001300816","ZCCHC10"
"chr12",53400042,"NM_001300821","EIF4B"
"chr4",121844021,"NM_001300823","PRDM5"
"chr4",138453652,"NM_001300828","PCDH18"
"chr1",231376933,"NM_001300830","C1orf131"
"chr1",111889182,"NM_001300831","PIFO"
"chr11",65154041,"NM_001300832","FRMD8"
"chr1",112016491,"NM_001300834","C1orf162"
"chr19",2236352,"NM_001300836","PLEKHJ1"
"chr1",150254943,"NM_001300838","CIART"
"chr19",2867333,"NM_001300843","ZNF556"
"chr11",65667997,"NM_001300844","FOSL1"
"chr1",234349957,"NM_001300845","SLC35F3"
"chr6",43027283,"NM_001300848","MRPL2"
"chr1",173962210,"NM_001300850","RC3H1"
"chr12",55042277,"NM_001300854","DCD"
"chr5",134094424,"NM_001300860","DDX46"
"chr11",66056638,"NM_001300861","YIF1A"
"chr19",5978320,"NM_001300865","RANBP3"
"chr1",222817645,"NM_001300867","MIA3"
"chr11",66139947,"NM_001300868","SLC29A2"
"chr19",9649321,"NM_001300883","ZNF426"
"chr11",66824289,"NM_001300886","RHOD"
"chr19",10697991,"NM_001300887","AP1M2"
"chrX",75392764,"NM_001300888","PBDC1"
"chr1",13002353,"NM_001300891","PRAMEF27"
"chr1",13424003,"NM_001300891","PRAMEF27"
"chr1",13644800,"NM_001300891","PRAMEF27"
"chr1",13364886,"NM_001300891","PRAMEF27"
"chr11",67222818,"NM_001300895","CABP4"
"chr4",130014762,"NM_001300897","SCLT1"
"chr6",76458893,"NM_001300899","MYO6"
"chr16",1823140,"NM_001300900","MRPS34"
"chr12",57024115,"NM_001300905","BAZ2A"
"chr6",82957471,"NM_001300906","IBTK"
"chr11",67980812,"NM_001300907","KMT5B"
"chr19",15218175,"NM_001300910","SYDE1"
"chr19",14800852,"NM_001300912","ZNF333"
"chr11",68039469,"NM_001300913","C11orf24"
"chr19",14628674,"NM_001300914","DNAJB1"
"chr19",16284336,"NM_001300922","CIB3"
"chr19",16770968,"NM_001300925","SMIM7"
"chr11",71639768,"NM_001300926","RNF121"
"chr19",18451397,"NM_001300927","PGPEP1"
"chr6",108582464,"NM_001300928","SNX3"
"chr11",89867818,"NM_001300930","NAALAD2"
"chr7",34697851,"NM_001300933","NPSR1"
"chr5",137419581,"NM_001300938","WNT8A"
"chr12",64616076,"NM_001300940","KICS2"
"chr11",76156069,"NM_001300942","EMSY"
"chr19",19314238,"NM_001300945","NR2C2AP"
"chr19",19576149,"NM_001300946","GATAD2A"
"chr12",69633317,"NM_001300947","CPSF6"
"chr16",48278078,"NM_001300948","LONP2"
"chr19",19778962,"NM_001300949","ZNF101"
"chr12",69753490,"NM_001300950","YEATS4"
"chr19",23578362,"NM_001300951","ZNF91"
"chr11",76571917,"NM_001300953","ACER3"
"chr7",44788165,"NM_001300959","ZMIZ2"
"chr6",111136519,"NM_001300960","CDK19"
"chr12",77272820,"NM_001300965","CSRP2"
"chr1",169429907,"NM_001300968","CCDC181"
"chr11",82904781,"NM_001300972","ANKRD42"
"chr19",36132639,"NM_001300974","ETV2"
"chr19",33463123,"NM_001300978","FAAP24"
"chr19",37178514,"NM_001300979","ZNF567"
"chr5",140019012,"NM_001300980","TMCO6"
"chr7",44836235,"NM_001300981","PPIA"
"chr1",97187161,"NM_001300985","PTBP2"
"chr19",39109714,"NM_001300992","EIF3K"
"chr19",37958674,"NM_001300993","ZNF570"
"chr11",94501508,"NM_001301007","AMOTL1"
"chr19",39826726,"NM_001301008","GMFG"
"chr7",54610018,"NM_001301009","VSTM2A"
"chr11",107436461,"NM_001301010","ALKBH8"
"chr1",32665987,"NM_001301011","CCDC28B"
"chr6",133562637,"NM_001301012","EYA4"
"chr5",148521046,"NM_001301015","ABLIM3"
"chr19",41771027,"NM_001301016","HNRNPUL1"
"chr19",2269485,"NM_001301020","OAZ1"
"chr12",93772326,"NM_001301022","NUDT4"
"chr15",30261002,"NM_001301025","TJP1"
"chr11",113746292,"NM_001301029","USP28"
"chr19",42569967,"NM_001301030","GRIK5"
"chr19",42758787,"NM_001301035","ERF"
"chr12",95009927,"NM_001301036","TMCC3"
"chr1",150244687,"NM_001301039","C1orf54"
"chr19",47157914,"NM_001301046","DACT3"
"chr5",148737570,"NM_001301054","PCYOX1L"
"chr1",2323190,"NM_001301060","MORN1"
"chr19",48777007,"NM_001301062","ZNF114"
"chr5",149877340,"NM_001301063","NDST1"
"chr16",15188192,"NM_001301064","RRN3"
"chr11",118550381,"NM_001301065","TREH"
"chr5",154238079,"NM_001301073","CNOT8"
"chr19",47353547,"NM_001301076","AP2S1"
"chr6",163835675,"NM_001301085","QKI"
"chr11",124767831,"NM_001301088","ROBO4"
"chr11",130786382,"NM_001301089","SNX19"
"chr11",130184607,"NM_001301098","ZBTB44"
"chr15",75315896,"NM_001301101","PPCDC"
"chr15",93014907,"NM_001301106","C15orf32"
"chr12",102455902,"NM_001301107","WASHC3"
"chr15",84115980,"NM_001301108","SH3GL3"
"chr15",84322838,"NM_001301110","ADAMTSL3"
"chr7",79082890,"NM_001301128","MAGI2"
"chr22",38349670,"NM_001301129","POLR2F"
"chr15",40731920,"NM_001301132","BAHD1"
"chr7",91510034,"NM_001301134","MTERF1"
"chr15",42500524,"NM_001301138","VPS39"
"chr12",108955239,"NM_001301140","ISCU"
"chr15",45028560,"NM_001301144","TRIM69"
"chr16",616995,"NM_001301159","NHLRC4"
"chr7",105603657,"NM_001301161","CDHR3"
"chr7",129845338,"NM_001301163","TMEM209"
"chr7",141646807,"NM_001301167","CLEC5A"
"chr15",45480165,"NM_001301168","SHF"
"chr12",109460894,"NM_001301175","USP30"
"chr15",78113242,"NM_001301186","LINGO1"
"chr20",361950,"NM_001301188","TRIB3"
"chr15",79603404,"NM_001301203","TMED3"
"chr15",83952209,"NM_001301206","BNC1"
"chr15",48470558,"NM_001301210","MYEF2"
"chr15",50979012,"NM_001301212","TRPM7"
"chrX",150151858,"NM_001301228","HMGB3"
"chr1",41454120,"NM_001301237","CTPS1"
"chr12",1136914,"NM_001301248","ERC1"
"chr16",56701977,"NM_001301267","MT1G"
"chr15",40616257,"NM_001301268","INAFM2"
"chr16",56691855,"NM_001301272","MT1F"
"chr9",97021548,"NM_001301275","ZNF169"
"chr15",64995480,"NM_001301302","OAZ2"
"chr22",24110159,"NM_001301339","CHCHD10"
"chr1",171154347,"NM_001301347","FMO2"
"chr15",42565856,"NM_001301409","GANC"
"chr2",154800907,"NM_001301627","GALNT13"
"chr4",155661993,"NM_001301645","LRAT"
"chr8",103876428,"NM_001301668","AZIN1"
"chr16",2286468,"NM_001301680","DNASE1L2"
"chr10",70939960,"NM_001301683","SUPV3L1"
"chr2",237076652,"NM_001301687","GBX2"
"chr1",44820951,"NM_001301698","ERI3"
"chr19",43773715,"NM_001301707","PSG9"
"chr17",38721736,"NM_001301714","CCR7"
"chr20",61493115,"NM_001301726","TCFL5"
"chr14",50319791,"NM_001301732","NEMF"
"chr5",138861887,"NM_001301738","STING1"
"chr16",21169698,"NM_001301769","LDAF1"
"chr8",144295068,"NM_001301772","GPIHBP1"
"chr20",60718776,"NM_001301778","SS18L1"
"chr11",123612391,"NM_001301779","ZNF202"
"chr19",54974894,"NM_001301782","LENG9"
"chr3",15469054,"NM_001301790","METTL6"
"chr7",117067577,"NM_001301821","ASZ1"
"chr12",7052665,"NM_001301834","C12orf57"
"chr17",73663196,"NM_001301839","SAP30BP"
"chr22",40766566,"NM_001301849","SGSM3"
"chr11",125365110,"NM_001301851","LOC403312"
"chr20",39969493,"NM_001301860","LPIN3"
"chr3",112931344,"NM_001301861","BOC"
"chr5",43412493,"NM_001301873","CCL28"
"chr1",10509776,"NM_001302","CORT"
"chr1",49242641,"NM_001302082","BEND5"
"chr11",66512207,"NM_001302084","C11orf80"
"chr16",3355406,"NM_001302109","ZNF75A"
"chr4",76957350,"NM_001302123","CXCL11"
"chr1",41950354,"NM_001302269","EDN2"
"chr10",120938377,"NM_001302272","PRDX3"
"chr7",7680267,"NM_001302348","UMAD1"
"chr3",15140664,"NM_001302378","RBSN"
"chr19",11546603,"NM_001302453","ODAD3"
"chr15",31619058,"NM_001302461","KLF13"
"chr19",15975714,"NM_001302493","CLEC4OP"
"chr1",12908157,"NM_001302551","HNRNPCL4"
"chr17",41561285,"NM_001302623","DHX8"
"chr7",47834889,"NM_001302627","PKD1L1-AS1"
"chr20",61583999,"NM_001302643","SLC17A9"
"chr11",111175773,"NM_001302644","COLCA1"
"chr14",104029294,"NM_001302652","COA8"
"chr2",85921414,"NM_001302758","GNLY"
"chr2",205410516,"NM_001302769","PARD3B"
"chr4",70826729,"NM_001302770","CSN2"
"chr6",3118610,"NM_001302777","BPHL"
"chr15",39542870,"NM_001302797","LINC02915"
"chr4",71263599,"NM_001302807","OPRPN"
"chr17",72580818,"NM_001302809","CD300LD-AS1"
"chr20",61147660,"NM_001302812","MIR1-1HG"
"chr22",32334440,"NM_001302819","YWHAH-AS1"
"chr3",37452629,"NM_001302831","APRG1"
"chr20",44176065,"NM_001302861","EPPIN"
"chr11",2925175,"NM_001302862","SLC22A18AS"
"chr9",100174302,"NM_001302884","TDRD7"
"chr3",3168600,"NM_001302946","TRNT1"
"chr11",67250987,"NM_001302959","AIP"
"chr19",51413994,"NM_001302961","KLK4"
"chr21",15583212,"NM_001302998","LIPI"
"chr17",13972719,"NM_001303","COX10"
"chr6",31698042,"NM_001303007","DDAH2"
"chr1",2398898,"NM_001303012","PLCH2"
"chr11",65337930,"NM_001303024","ZNRD2"
"chr11",392599,"NM_001303029","PKP3"
"chr1",38156267,"NM_001303030","C1orf109"
"chr11",3692614,"NM_001303034","CHRNA10"
"chr7",24612965,"NM_001303037","PALS2"
"chr7",6629652,"NM_001303039","INTS15"
"chr1",145524891,"NM_001303040","ITGA10"
"chr7",100076902,"NM_001303043","TSC22D4"
"chr18",3247528,"NM_001303047","MYL12A"
"chr2",27237622,"NM_001303050","MAPRE3"
"chr1",202897772,"NM_001303051","KLHL12"
"chr2",2335085,"NM_001303052","MYT1L"
"chr7",44621894,"NM_001303058","TMED4"
"chr1",156698231,"NM_001303095","ISG20L2"
"chr2",190306159,"NM_001303096","WDR75"
"chr12",123319985,"NM_001303097","HIP1R"
"chr8",681239,"NM_001303100","ERICH1"
"chr9",84304450,"NM_001303103","TLE1"
"chr2",109403206,"NM_001303105","CCDC138"
"chr9",104249503,"NM_001303107","PGAP4"
"chr13",110959504,"NM_001303110","COL4A1"
"chr10",120863577,"NM_001303111","DENND10"
"chr12",49621709,"NM_001303114","TUBA1C"
"chr10",13276328,"NM_001303118","UCMA"
"chr21",31914183,"NM_001303120","KRTAP19-6"
"chr12",56512004,"NM_001303124","ZC3H10"
"chr12",49463808,"NM_001303126","RHEBL1"
"chr2",27498289,"NM_001303127","DNAJC5G"
"chr12",100967439,"NM_001303130","GAS2L3"
"chr13",111968532,"NM_001303133","TEX29"
"chr10",114206717,"NM_001303134","ZDHHC6"
"chr10",118350525,"NM_001303135","PNLIPRP1"
"chr6",35181839,"NM_001303136","SCUBE3"
"chr13",24883716,"NM_001303137","C1QTNF9"
"chr3",73618666,"NM_001303139","PDZRN3"
"chr4",2243891,"NM_001303143","HAUS3"
"chr5",140529603,"NM_001303145","PCDHB6"
"chr4",39034041,"NM_001303228","TMEM156"
"chr1",150980867,"NM_001303229","PRUNE1"
"chr15",89178868,"NM_001303233","ISG20"
"chr5",179921399,"NM_001303241","CNOT6"
"chr3",141205889,"NM_001303245","RASA2"
"chr15",78592068,"NM_001303247","SKIC8"
"chr5",110074695,"NM_001303249","SLC25A46"
"chr5",159827104,"NM_001303251","ZBED8"
"chr22",50700188,"NM_001303252","MAPK12"
"chr6",160183511,"NM_001303253","ACAT2"
"chr17",62915598,"NM_001303255","LRRC37A3"
"chr22",31364483,"NM_001303256","MORC2"
"chr17",7549945,"NM_001303263","ATP1B2"
"chr3",150126122,"NM_001303264","TSC22D2"
"chr17",73008759,"NM_001303265","MRPL58"
"chr17",7621078,"NM_001303270","DNAH2"
"chr17",65713949,"NM_001303272","NOL11"
"chr17",73201545,"NM_001303276","NUP85"
"chrX",70521598,"NM_001303277","ITGB1BP2"
"chr17",31204191,"NM_001303279","MYO1D"
"chr17",11900827,"NM_001303281","ZNF18"
"chr3",101443437,"NM_001303401","CEP97"
"chr3",39093477,"NM_001303402","WDR48"
"chr10",102027438,"NM_001303404","CWF19L1"
"chrY",24329089,"NM_001303410","RBMY1F"
"chrY",24455010,"NM_001303410","RBMY1F"
"chr18",33647557,"NM_001303411","RPRD1A"
"chr4",189026741,"NM_001303419","TRIML2"
"chr1",184006904,"NM_001303420","COLGALT2"
"chr2",165425060,"NM_001303422","GRB14"
"chr3",179040779,"NM_001303425","ZNF639"
"chr1",78444889,"NM_001303433","FUBP1"
"chr17",43237541,"NM_001303436","HEXIM2"
"chr16",11836734,"NM_001303447","TXNDC11"
"chr1",24969594,"NM_001303448","SRRM1"
"chr16",4817219,"NM_001303450","ZNF500"
"chr16",84682117,"NM_001303451","KLHL36"
"chr1",145610668,"NM_001303456","POLR3C"
"chr20",36661870,"NM_001303457","TTI1"
"chr20",42219253,"NM_001303458","IFT52"
"chr17",7344061,"NM_001303460","FGF11"
"chr20",18039832,"NM_001303461","OVOL2"
"chr7",26897342,"NM_001303468","SKAP2"
"chr7",99756344,"NM_001303470","TRAPPC14"
"chr18",77748592,"NM_001303471","TXNL4A"
"chr20",10015647,"NM_001303472","ANKEF1"
"chr7",1084209,"NM_001303473","GPR146"
"chr20",5731033,"NM_001303477","SHLD1"
"chr7",148892554,"NM_001303481","ZNF282"
"chr22",18043139,"NM_001303484","SLC25A18"
"chr10",51371371,"NM_001303486","PARG"
"chr22",39268339,"NM_001303494","CBX6"
"chr7",92777701,"NM_001303496","SAMD9L"
"chr19",1026274,"NM_001303499","CNN2"
"chr16",30087297,"NM_001303503","PPP4C"
"chr22",22599192,"NM_001303509","VPREB1"
"chr12",96649238,"NM_001303511","ELK3"
"chrX",153096022,"NM_001303512","PDZD4"
"chr14",21945335,"NM_001303523","TOX4"
"chr18",12307668,"NM_001303524","TUBB6"
"chr8",38386180,"NM_001303531","LINC03042"
"chr17",38333263,"NM_001303533","RAPGEFL1"
"chr19",48867494,"NM_001303538","TMEM143"
"chr17",29815019,"NM_001303542","RAB11FIP4"
"chrX",154444550,"NM_001303543","VBP1"
"chr19",39833099,"NM_001303614","SAMD4B"
"chr11",19081564,"NM_001303615","MRGPRX2"
"chr18",67615089,"NM_001303618","CD226"
"chr12",121126113,"NM_001303627","MLEC"
"chr11",35965531,"NM_001304263","LDLRAD3"
"chr17",73106047,"NM_001304271","ARMC7"
"chr11",31531175,"NM_001304274","IMMP1L"
"chr9",134615331,"NM_001304275","RAPGEF1"
"chr17",5019733,"NM_001304284","USP6"
"chr3",39448180,"NM_001304288","RPSA"
"chr1",202995649,"NM_001304331","PPFIA4"
"chr9",34957484,"NM_001304333","PHF24"
"chr19",58011222,"NM_001304334","ZNF773"
"chr1",156023616,"NM_001304342","UBQLN4"
"chr19",10024381,"NM_001304347","OLFM2"
"chr19",14219202,"NM_001304349","PRKACA"
"chr19",8932739,"NM_001304350","ZNF558"
"chr8",24151553,"NM_001304351","ADAM28"
"chr2",113342014,"NM_001304353","CHCHD5"
"chr4",188916925,"NM_001304358","ZFP42"
"chr11",1151580,"NM_001304359","MUC5AC"
"chr2",113522254,"NM_001304361","CKAP2L"
"chr9",125693792,"NM_001304363","ZBTB26"
"chr3",169629360,"NM_001304366","SAMD7"
"chr20",56803709,"NM_001304369","ANKRD60"
"chr16",57576333,"NM_001304376","ADGRG5"
"chr4",144940498,"NM_001304382","GYPB"
"chr3",50316458,"NM_001304385","LSMEM2"
"chr3",42452094,"NM_001304386","LYZL4"
"chr15",23692390,"NM_001304388","GOLGA6L2"
"chr3",55001115,"NM_001304389","LRTM1"
"chr16",57406373,"NM_001304392","CX3CL1"
"chr3",69171746,"NM_001304418","LMOD3"
"chr7",150902582,"NM_001304419","IQCA1L"
"chr3",57742983,"NM_001304420","SLMAP"
"chr5",57787262,"NM_001304428","GAPT"
"chr13",95248529,"NM_001304430","TGDS"
"chr6",83775560,"NM_001304437","UBE3D"
"chr17",32907768,"NM_001304438","TMEM132E"
"chr11",102595685,"NM_001304441","MMP8"
"chr12",108525508,"NM_001304447","WSCD2"
"chr12",10607284,"NM_001304448","KLRC1"
"chr2",133064717,"NM_001304449","ZNF285CP"
"chr12",22487648,"NM_001304450","ST8SIA1"
"chr1",10459049,"NM_001304451","PGD"
"chr19",58988546,"NM_001304453","ZNF446"
"chr4",148605381,"NM_001304458","PRMT9"
"chr14",94970559,"NM_001304461","SERPINA12"
"chr1",203830713,"NM_001304464","SNRPE"
"chr10",126480510,"NM_001304467","EEF1AKMT2"
"chr3",184097861,"NM_001304472","CHRD"
"chr14",25519503,"NM_001304476","STXBP6"
"chr8",21900264,"NM_001304478","FGF17"
"chr12",32687227,"NM_001304480","FGD4"
